Sumber,Rujuk,Keterangan
ISO 9001,ukur,"Organisasi hendaklah menentukan dan menyediakan sumber yang diperlukan untuk
memastikan keputusan yang sah dan boleh dipercayai, apabila pemantauan atau pengukuran
digunakan untuk menentu sah keakuran produk dan perkhidmatan terhadap keperluan."
ISO 9001,ukur,"a) adalah sesuai untuk jenis aktiviti pemantauan dan pengukuran tertentu yang
dilaksanakan;"
ISO 9001,ukur,"Organisasi hendaklah menyimpan maklumat didokumentasikan yang sesuai sebagai bukti
kesesuaian untuk maksud tentang sumber pemantauan dan pengukuran."
ISO 9001,ukur,7.1.5.2 Kebolehkesanan pengukuran
ISO 9001,ukur,"Apabila kebolehkesanan pengukuran ialah suatu keperluan, atau dianggap suatu perkara
yang penting oleh organisasi untuk memberikan keyakinan dalam kesahan hasil pengukuran,
peralatan mengukur hendaklah:"
ISO 9001,ukur,"a) ditentukur atau ditentusahkan, atau kedua-duanya, pada sela waktu yang ditetapkan,
atau sebelum digunakan, dengan standard pengukuran yang boleh dikesan daripada
standard pengukuran antarabangsa atau kebangsaan; apabila standard sedemikian tidak
wujud, asas yang digunakan bagi tentukuran atau penentusahan hendaklah disimpan
sebagai maklumat didokumentasikan;"
ISO 9001,ukur,"c) dilindungi daripada pelarasan, kerosakan atau kemerosotan yang akan mentaksahkan
status tentukuran dan hasil pengukuran seterusnya."
ISO 9001,ukur,"Organisasi hendaklah menentukan sama ada kesahan hasil pengukuran terdahulu terjejas
teruk apabila peralatan mengukur didapati tidak sesuai untuk maksudnya yang ditetapkan,
dan hendaklah mengambil tindakan sewajarnya seperti yang diperlukan."
ISO 9001,objektif,"NOTA 1. Pengetahuan organisasi ialah pengetahuan khusus bagi organisasi itu; ia diperoleh melalui
pengalaman. Ia merupakan maklumat yang digunakan dan dikongsi bagi mencapai objektif organisasi."
ISO 9001,dasar,NOTA 2. Pengetahuan organisasi boleh berdasarkan:
ISO 9001,penambahbaikan,"a) sumber dalaman (contoh, harta intelek; pengetahuan yang diperoleh melalui pengalaman;
pengajaran daripada kegagalan dan projek yang berjaya; perakaman dan perkongsian
pengetahuan dan pengalaman yang tidak didokumentasikan; hasil penambahbaikan dalam proses,
produk dan perkhidmatan);"
ISO 9001,pelanggan,"b) sumber luaran (contoh, standard; akademia; persidangan; pengumpulan pengetahuan daripada
pelanggan atau penyedia luar)."
ISO 9001,kompeten,7.2 Kekompetenan
ISO 9001,kompeten,"a) menentukan kekompetenan yang diperlukan oleh orang yang melakukan kerja di bawah
kawalannya memberi kesan kepada prestasi dan keberkesanan sistem pengurusan
kualiti;"
ISO 9001,kawalan,"a) menentukan kekompetenan yang diperlukan oleh orang yang melakukan kerja di bawah
kawalannya memberi kesan kepada prestasi dan keberkesanan sistem pengurusan
kualiti;"
ISO 9001,pengurusan,"a) menentukan kekompetenan yang diperlukan oleh orang yang melakukan kerja di bawah
kawalannya memberi kesan kepada prestasi dan keberkesanan sistem pengurusan
kualiti;"
ISO 9001,prestasi,"a) menentukan kekompetenan yang diperlukan oleh orang yang melakukan kerja di bawah
kawalannya memberi kesan kepada prestasi dan keberkesanan sistem pengurusan
kualiti;"
ISO 9001,dasar,"b) memastikan bahawa orang tersebut kompeten berdasarkan pendidikan, latihan, atau
pengalaman yang sesuai;"
ISO 9001,kompeten,"b) memastikan bahawa orang tersebut kompeten berdasarkan pendidikan, latihan, atau
pengalaman yang sesuai;"
ISO 9001,kompeten,"c) mengambil tindakan, jika berkenaan, untuk memperoleh kekompetenan yang diperlukan,
dan menilai keberkesanan tindakan yang diambil;"
ISO 9001,kompeten,d) menyimpan maklumat didokumentasikan yang sesuai sebagai bukti kekompetenan.
ISO 9001,kompeten,"NOTA. Tindakan yang terpakai boleh termasuk, sebagai contoh, penyediaan latihan, pementoran, atau
penugasan semula pekerja sedia ada; atau pengambilan atau pengkontrakan orang yang kompeten."
ISO 9001,kawalan,"Organisasi hendaklah memastikan bahawa orang yang melakukan kerja di bawah
kawalannya mengetahui tentang:"
ISO 9001,dasar,a) dasar kualiti;
ISO 9001,objektif,b) objektif kualiti yang relevan;
ISO 9001,pengurusan,"c) sumbangan mereka kepada keberkesanan sistem pengurusan kualiti, termasuk manfaat
prestasi yang ditambah baik;"
ISO 9001,prestasi,"c) sumbangan mereka kepada keberkesanan sistem pengurusan kualiti, termasuk manfaat
prestasi yang ditambah baik;"
ISO 9001,pengurusan,d) implikasi jika tidak mengakuri keperluan sistem pengurusan kualiti.
ISO 9001,komunikasi,7.4 Komunikasi
ISO 9001,pengurusan,"Organisasi hendaklah menentukan komunikasi dalaman dan luaran yang relevan dengan
sistem pengurusan kualiti, termasuk:"
ISO 9001,komunikasi,"Organisasi hendaklah menentukan komunikasi dalaman dan luaran yang relevan dengan
sistem pengurusan kualiti, termasuk:"
ISO 9001,komunikasi,a) perkara yang akan dikomunikasikan;
ISO 9001,komunikasi,b) bila perlu berkomunikasi;
ISO 9001,komunikasi,c) dengan siapa untuk berkomunikasi;
ISO 9001,komunikasi,d) cara untuk berkomunikasi;
ISO 9001,komunikasi,e) siapa yang berkomunikasi.
ISO 9001,pengurusan,Sistem pengurusan kualiti organisasi hendaklah termasuk:
ISO 9001,pengurusan,"b) maklumat didokumentasikan yang ditentukan perlu oleh organisasi bagi keberkesanan
sistem pengurusan kualiti."
ISO 9001,pengurusan,"NOTA. Tahap maklumat didokumentasikan untuk sistem pengurusan kualiti boleh berbeza antara satu
organisasi dengan yang lain disebabkan oleh:"
ISO 9001,kompeten,"- saiz organisasi dan jenis aktiviti, proses, produk dan perkhidmatannya;
- kerumitan proses dan saling tindaknya;
- kekompetenan orang."
ISO 9001,kawalan,7.5.3 Kawalan maklumat didokumentasikan
ISO 9001,pengurusan,"7.5.3.1 Maklumat didokumentasikan yang diperlukan oleh sistem pengurusan kualiti dan
Standard Antarabangsa ini hendaklah dikawal bagi memastikan:"
ISO 9001,kawalan,"c) kawalan perubahan (contoh, kawalan versi);"
ISO 9001,pengurusan,"Maklumat didokumentasikan yang berasal dari luar yang ditentukan penting oleh organisasi
bagi perancangan dan operasi sistem pengurusan kualiti hendaklah dikenal pasti sewajarnya,
dan dikawal."
ISO 9001,kawalan,8.1 Perancangan dan kawalan operasi
ISO 9001,kawalan,d) melaksanakan kawalan proses selaras dengan kriteria;
ISO 9001,komunikasi,8.2.1 Komunikasi dengan pelanggan
ISO 9001,pelanggan,8.2.1 Komunikasi dengan pelanggan
ISO 9001,komunikasi,Komunikasi dengan pelanggan hendaklah termasuk:
ISO 9001,pelanggan,Komunikasi dengan pelanggan hendaklah termasuk:
ISO 9001,pelanggan,"c) mendapatkan maklum balas pelanggan berkaitan dengan produk dan perkhidmatan,
termasuk aduan pelanggan;"
ISO 9001,pelanggan,d) mengendalikan atau mengawal harta pelanggan;
ISO 9001,pelanggan,"Apabila menentukan keperluan untuk produk dan perkhidmatan yang akan ditawarkan
kepada pelanggan, organisasi hendaklah memastikan bahawa:"
ISO 9001,komitmen,"8.2.3.1 Organisasi hendaklah memastikan bahawa ia mempunyai keupayaan untuk
memenuhi keperluan produk dan perkhidmatan yang ditawarkan kepada pelanggan.
Organisasi hendaklah menjalankan kajian semula sebelum memberikan komitmen untuk
membekalkan produk dan perkhidmatan kepada pelanggan, termasuk:"
ISO 9001,pelanggan,"8.2.3.1 Organisasi hendaklah memastikan bahawa ia mempunyai keupayaan untuk
memenuhi keperluan produk dan perkhidmatan yang ditawarkan kepada pelanggan.
Organisasi hendaklah menjalankan kajian semula sebelum memberikan komitmen untuk
membekalkan produk dan perkhidmatan kepada pelanggan, termasuk:"
ISO 9001,pelanggan,"a) keperluan yang ditetapkan oleh pelanggan, termasuk keperluan hantar serah dan aktiviti
selepas hantar serah;"
ISO 9001,pelanggan,"b) keperluan yang tidak dinyatakan oleh pelanggan, tetapi adalah perlu bagi kegunaan yang
ditetapkan atau yang dimaksudkan, jika hal itu diketahui;"
ISO 9001,pelanggan,"Keperluan pelanggan hendaklah disahkan oleh organisasi sebelum penerimaan, apabila
pelanggan tidak menyediakan pernyataan didokumentasikan tentang keperluan mereka."
ISO 9001,kawalan,"Dalam menentukan tahap dan kawalan untuk reka bentuk dan pembangunan, organisasi
hendaklah mengambil kira:"
ISO 9001,tanggungjawab,d) tanggungjawab dan kuasa yang terlibat dalam proses reka bentuk dan pembangunan;
ISO 9001,pelanggan,"g) keperluan untuk pelibatan pelanggan dan pengguna dalam proses reka bentuk dan
pembangunan;"
ISO 9001,kawalan,"i) tahap kawalan yang dijangkakan untuk proses reka bentuk dan pembangunan oleh
pelanggan dan pihak berkepentingan lain yang relevan;"
ISO 9001,pelanggan,"i) tahap kawalan yang dijangkakan untuk proses reka bentuk dan pembangunan oleh
pelanggan dan pihak berkepentingan lain yang relevan;"
ISO 9001,prestasi,a) keperluan fungsian dan prestasi;
ISO 9001,komitmen,"d) standard atau kod amalan yang organisasi telah memberikan komitmen untuk
dilaksanakan;"
ISO 9001,kawalan,8.3.4 Kawalan reka bentuk dan pembangunan
ISO 9001,kawalan,"Organisasi hendaklah mengenakan kawalan untuk proses reka bentuk dan pembangunan
bagi memastikan bahawa:"
ISO 9001,ukur,"c) merangkumi atau merujuk keperluan pemantauan dan pengukuran, sebagaimana yang
sesuai, dan kriteria penerimaan;"
ISO 9001,kawalan,"8.4 Kawalan terhadap proses, produk dan perkhidmatan sediaan luar"
ISO 9001,kawalan,"Organisasi hendaklah menentukan kawalan yang akan diguna pakai bagi proses, produk dan
perkhidmatan sediaan luar apabila:"
ISO 9001,pelanggan,"b) produk dan perkhidmatan disediakan secara terus kepada pelanggan oleh penyedia luar
bagi pihak organisasi;"
ISO 9001,dasar,"c) proses, atau sebahagian daripada proses, disediakan oleh penyedia luar berdasarkan
keputusan yang dibuat oleh organisasi."
ISO 9001,dasar,"Organisasi hendaklah menentukan dan mengguna pakai kriteria penilaian, pemilihan,
pemantauan prestasi, dan penilaian semula penyedia luar, berdasarkan keupayaan mereka
untuk menyediakan proses atau produk dan perkhidmatan selaras dengan keperluan.
Organisasi hendaklah mengekalkan maklumat didokumentasikan berkaitan aktiviti ini dan
apa-apa tindakan perlu yang berpunca daripada penilaian."
ISO 9001,prestasi,"Organisasi hendaklah menentukan dan mengguna pakai kriteria penilaian, pemilihan,
pemantauan prestasi, dan penilaian semula penyedia luar, berdasarkan keupayaan mereka
untuk menyediakan proses atau produk dan perkhidmatan selaras dengan keperluan.
Organisasi hendaklah mengekalkan maklumat didokumentasikan berkaitan aktiviti ini dan
apa-apa tindakan perlu yang berpunca daripada penilaian."
ISO 9001,kawalan,8.4.2 Jenis dan takat kawalan
ISO 9001,pelanggan,"Organisasi hendaklah memastikan bahawa proses, produk dan perkhidmatan sediaan luar
tidak memberi kesan bertentangan terhadap keupayaan organisasi untuk membekalkan
secara tekal produk dan perkhidmatan yang akur dengan keperluan kepada pelanggannya."
ISO 9001,kawalan,"a) memastikan bahawa proses sediaan luar kekal dalam kawalan sistem pengurusan
kualitinya;"
ISO 9001,pengurusan,"a) memastikan bahawa proses sediaan luar kekal dalam kawalan sistem pengurusan
kualitinya;"
ISO 9001,kawalan,"b) menetapkan kawalan yang dimaksudkan untuk diguna pakai terhadap kedua-dua
penyedia luar dan output yang terhasil;"
ISO 9001,pelanggan,"1) impak yang mungkin terhasil daripada proses, produk dan perkhidmatan sediaan luar
terhadap keupayaan organisasi untuk memenuhi secara tekal keperluan pelanggan,
serta keperluan berkanun dan peraturan yang terpakai;"
ISO 9001,kawalan,2) keberkesanan kawalan yang diguna pakai oleh penyedia luar;
ISO 9001,komunikasi,"Organisasi hendaklah memastikan kecukupan keperluan sebelum dikomunikasikan kepada
penyedia luar."
ISO 9001,komunikasi,Organisasi hendaklah mengkomunikasikan kepada penyedia luar keperluannya tentang:
ISO 9001,kompeten,"c) kekompetenan, termasuk apa-apa kelayakan yang diperlukan oleh seseorang;"
ISO 9001,kawalan,e) kawalan dan pemantauan prestasi penyedia luar yang akan diguna pakai oleh organisasi;
ISO 9001,prestasi,e) kawalan dan pemantauan prestasi penyedia luar yang akan diguna pakai oleh organisasi;
ISO 9001,pelanggan,"f) aktiviti penentusahan atau pengesahan yang organisasi, atau pelanggannya, bermaksud
untuk melaksanakan di premis penyedia luar."
ISO 9001,kawalan,8.5.1 Kawalan penyediaan pengeluaran dan perkhidmatan
ISO 9001,ukur,b) ketersediaan dan penggunaan sumber pemantauan dan pengukuran yang sesuai;
ISO 9001,kawalan,"c) pelaksanaan aktiviti pemantauan dan pengukuran pada tahap yang sesuai untuk
menentusahkan bahawa kriteria kawalan proses atau output, dan kriteria penerimaan
produk dan perkhidmatan telah dipenuhi;"
ISO 9001,ukur,"c) pelaksanaan aktiviti pemantauan dan pengukuran pada tahap yang sesuai untuk
menentusahkan bahawa kriteria kawalan proses atau output, dan kriteria penerimaan
produk dan perkhidmatan telah dipenuhi;"
ISO 9001,kompeten,"e) pelantikan orang yang kompeten, termasuk apa-apa kelayakan yang diperlukan;"
ISO 9001,ukur,"f) pengesahan dan pengesahan semula secara berkala, terhadap keupayaan untuk
mencapai hasil yang dirancang daripada proses bagi penyediaan pengeluaran dan
perkhidmatan, jika output yang dihasilkan tidak boleh ditentusahkan melalui pemantauan
atau pengukuran berikutnya;"
ISO 9001,ukur,"Organisasi hendaklah mengenal pasti status output berkenaan dengan keperluan
pemantauan dan pengukuran sepanjang penyediaan pengeluaran dan perkhidmatan."
ISO 9001,pelanggan,8.5.3 Harta kepunyaan pelanggan atau penyedia luar
ISO 9001,kawalan,"Organisasi hendaklah memelihara harta kepunyaan pelanggan atau penyedia luar semasa
harta itu di bawah kawalan organisasi atau digunakan oleh organisasi itu."
ISO 9001,pelanggan,"Organisasi hendaklah memelihara harta kepunyaan pelanggan atau penyedia luar semasa
harta itu di bawah kawalan organisasi atau digunakan oleh organisasi itu."
ISO 9001,pelanggan,"Organisasi hendaklah mengenal pasti, menentusahkan, menjaga serta melindungi harta
pelanggan atau penyedia luar yang disediakan untuk kegunaan atau untuk dijadikan
sebahagian daripada produk dan perkhidmatan."
ISO 9001,pelanggan,"Apabila harta pelanggan atau penyedia luar hilang, rosak atau selainnya didapati tidak sesuai
untuk digunakan, organisasi hendaklah melaporkan hal itu kepada pelanggan atau penyedia
luar, dan menyimpan maklumat didokumentasikan tentang hal yang telah berlaku."
ISO 9001,pelanggan,"NOTA. Harta pelanggan atau penyedia luar boleh termasuk bahan, komponen, alat dan peralatan,
premis, harta intelek dan data peribadi."
ISO 9001,kawalan,"NOTA. Pemeliharaan boleh termasuk pengenalpastian, pengendalian, kawalan pencemaran,
pembungkusan, penyimpanan, penghantaran atau pengangkutan, dan penjagaan."
ISO 9001,pelanggan,d) keperluan pelanggan;
ISO 9001,pelanggan,e) maklum balas pelanggan.
ISO 9001,kawalan,8.5.6 Kawalan perubahan
ISO 9001,pelanggan,"Pelepasan produk dan perkhidmatan kepada pelanggan tidak perlu diteruskan sehingga
perkiraan terancang disiapkan dengan memuaskan, melainkan jika diluluskan sebaliknya oleh
pihak berkuasa yang relevan dan, jika berkenaan, oleh pelanggan."
ISO 9001,kawalan,8.7 Kawalan output tak akur
ISO 9001,dasar,"Organisasi hendaklah mengambil tindakan yang sesuai berdasarkan keadaan ketakakuran
dan kesannya terhadap keakuran produk dan perkhidmatan. Perkara ini hendaklah juga
terpakai bagi produk dan perkhidmatan tak akur yang dikesan selepas hantar serah produk,
semasa atau selepas penyediaan perkhidmatan."
ISO 9001,ketakakuran,"Organisasi hendaklah mengambil tindakan yang sesuai berdasarkan keadaan ketakakuran
dan kesannya terhadap keakuran produk dan perkhidmatan. Perkara ini hendaklah juga
terpakai bagi produk dan perkhidmatan tak akur yang dikesan selepas hantar serah produk,
semasa atau selepas penyediaan perkhidmatan."
ISO 9001,pelanggan,c) memaklumkan pelanggan;
ISO 9001,ketakakuran,a) memerihalkan ketakakuran;
ISO 9001,ketakakuran,d) mengenal pasti kuasa yang memutuskan tindakan berkenaan dengan ketakakuran.
ISO 9001,prestasi,9 Penilaian prestasi
ISO 9001,ukur,"9.1 Pemantauan, pengukuran, analisis dan penilaian"
ISO 9001,ukur,a) apa yang perlu dipantau dan diukur;
ISO 9001,ukur,"b) kaedah pemantauan, pengukuran, analisis dan penilaian yang diperlukan bagi
memastikan hasil yang sah;"
ISO 9001,ukur,c) bila pemantauan dan pengukuran hendak dilaksanakan;
ISO 9001,ukur,d) bila hasil pemantauan dan pengukuran hendak dianalisis dan dinilai.
ISO 9001,pengurusan,Organisasi hendaklah menilai prestasi dan keberkesanan sistem pengurusan kualiti.
ISO 9001,prestasi,Organisasi hendaklah menilai prestasi dan keberkesanan sistem pengurusan kualiti.
ISO 9001,pelanggan,9.1.2 Kepuasan pelanggan
ISO 9001,pelanggan,"Organisasi hendaklah memantau tanggapan pelanggan tentang tahap keperluan dan
jangkaan mereka yang telah dipenuhi. Organisasi hendaklah menentukan kaedah untuk
memperoleh, memantau dan menyemak semula maklumat ini."
ISO 9001,pelanggan,"NOTA. Contoh pemantauan tanggapan pelanggan boleh termasuk kaji selidik pelanggan, maklum
balas pelanggan mengenai produk dan perkhidmatan yang dihantar serah, mesyuarat dengan
pelanggan, analisis bahagian pasaran, pujian, tuntutan waranti dan laporan wakil penjual."
ISO 9001,ukur,"Organisasi hendaklah menganalisis dan menilai data dan maklumat yang sesuai hasil
daripada pemantauan dan pengukuran."
ISO 9001,pelanggan,b) tahap kepuasan pelanggan;
ISO 9001,pengurusan,c) prestasi dan keberkesanan sistem pengurusan kualiti;
ISO 9001,prestasi,c) prestasi dan keberkesanan sistem pengurusan kualiti;
ISO 9001,prestasi,f) prestasi penyedia luar;
ISO 9001,pengurusan,g) keperluan untuk menambah baik sistem pengurusan kualiti.
ISO 9001,pengurusan,"9.2.1 Organisasi hendaklah menjalankan audit dalaman secara berkala bagi menyediakan
maklumat bahawa sistem pengurusan kualiti sama ada atau tidak:"
ISO 9001,pengurusan,1) keperluan sistem pengurusan kualiti organisasi itu sendiri;
ISO 9001,tanggungjawab,"a) merancang, mewujudkan, melaksanakan dan menyelenggarakan program audit,
termasuk kekerapan, kaedah, tanggungjawab, keperluan perancangan dan pelaporan,
yang hendaklah mengambil kira kepentingan proses berkenaan, perubahan yang
memberi kesan kepada organisasi, dan keputusan audit terdahulu;"
ISO 9001,objektif,"c) memilih juruaudit dan menjalankan audit bagi memastikan keobjektifan dan
kesaksamaan proses audit;"
ISO 9001,pengurusan,d) memastikan bahawa keputusan audit dilaporkan kepada pihak pengurusan yang relevan;
ISO 9001,pengurusan,9.3 Kajian semula pengurusan
ISO 9001,pengurusan,"Pengurusan atasan hendaklah mengkaji semula sistem pengurusan kualiti organisasi, secara
berkala, bagi memastikan kesesuaian, kecukupan, keberkesanan dan keselarasan yang
berterusan dengan hala tuju strategik organisasi."
ISO 9001,pengurusan,9.3.2 Input kajian semula pengurusan
ISO 9001,pengurusan,Kajian semula pengurusan hendaklah dirancang dan dijalankan dengan mengambil kira:
ISO 9001,pengurusan,a) status tindakan daripada kajian semula pengurusan yang terdahulu;
ISO 9001,pengurusan,"b) perubahan dalam isu-isu luaran dan dalaman yang relevan dengan sistem pengurusan
kualiti;"
ISO 9001,pengurusan,"c) maklumat tentang prestasi dan keberkesanan sistem pengurusan kualiti, termasuk trend
dalam:"
ISO 9001,prestasi,"c) maklumat tentang prestasi dan keberkesanan sistem pengurusan kualiti, termasuk trend
dalam:"
ISO 9001,pelanggan,"1) kepuasan pelanggan dan maklum balas daripada pihak berkepentingan yang
relevan;"
ISO 9001,objektif,2) takat pencapaian objektif kualiti;
ISO 9001,prestasi,3) prestasi proses dan keakuran produk dan perkhidmatan;
ISO 9001,ketakakuran,4) ketakakuran dan tindakan pembetulan;
ISO 9001,ukur,5) hasil pemantauan dan pengukuran;
ISO 9001,prestasi,7) prestasi penyedia luar;
ISO 9001,penambahbaikan,f) peluang untuk penambahbaikan.
ISO 9001,pengurusan,9.3.3 Output kajian semula pengurusan
ISO 9001,pengurusan,"Output kajian semula pengurusan hendaklah termasuk keputusan dan tindakan yang
berkaitan dengan:"
ISO 9001,penambahbaikan,a) peluang untuk penambahbaikan;
ISO 9001,pengurusan,b) apa-apa keperluan untuk perubahan kepada sistem pengurusan kualiti;
ISO 9001,pengurusan,"Organisasi hendaklah mengekalkan maklumat didokumentasikan sebagai bukti hasil kajian
semula pengurusan."
ISO 9001,penambahbaikan,10 Penambahbaikan
ISO 9001,pelanggan,"Organisasi hendaklah menentukan dan memilih peluang untuk penambahbaikan, dan
melaksanakan apa-apa tindakan yang perlu, bagi memenuhi keperluan pelanggan dan
meningkatkan kepuasan pelanggan."
ISO 9001,penambahbaikan,"Organisasi hendaklah menentukan dan memilih peluang untuk penambahbaikan, dan
melaksanakan apa-apa tindakan yang perlu, bagi memenuhi keperluan pelanggan dan
meningkatkan kepuasan pelanggan."
ISO 9001,pengurusan,c) menambah baik prestasi dan keberkesanan sistem pengurusan kualiti.
ISO 9001,prestasi,c) menambah baik prestasi dan keberkesanan sistem pengurusan kualiti.
ISO 9001,penambahbaikan,"NOTA. Contoh penambahbaikan boleh termasuk pembetulan, tindakan pembetulan, penambahbaikan
berterusan, perubahan kejayaan besar, inovasi dan penyusunan semula."
ISO 9001,ketakakuran,10.2 Ketakakuran dan tindakan pembetulan
ISO 9001,ketakakuran,"10.2.1 Apabila ketakakuran berlaku, termasuk apa-apa yang timbul daripada aduan,
organisasi hendaklah:"
ISO 9001,ketakakuran,"a) bertindak balas terhadap ketakakuran itu dan, jika berkenaan:"
ISO 9001,ketakakuran,"b) menilai keperluan untuk mengambil tindakan menghapuskan penyebab ketakakuran,
supaya tidak berulang atau berlaku di tempat lain, dengan cara:"
ISO 9001,ketakakuran,1) menyemak semula dan menganalisis ketakakuran;
ISO 9001,ketakakuran,2) menentukan penyebab ketakakuran;
ISO 9001,ketakakuran,"3) menentukan jika ketakakuran serupa wujud, atau mungkin boleh berlaku;"
ISO 9001,pengurusan,"f) membuat perubahan dalam sistem pengurusan kualiti, jika perlu."
ISO 9001,ketakakuran,Tindakan pembetulan hendaklah bersesuaian dengan kesan ketakakuran yang dihadapi.
ISO 9001,ketakakuran,a) keadaan ketakakuran dan apa-apa tindakan susulan yang diambil;
ISO 9001,penambahbaikan,10.3 Penambahbaikan berterusan
ISO 9001,pengurusan,"Organisasi hendaklah secara berterusan menambah baik kesesuaian, kecukupan dan
keberkesanan sistem pengurusan kualiti."
ISO 9001,pengurusan,"Organisasi hendaklah mengambil kira keputusan analisis dan penilaian, dan output daripada
kajian semula pengurusan, bagi menentukan jika terdapat keperluan atau peluang yang
sepatutnya ditangani sebagai sebahagian daripada penambahbaikan berterusan."
ISO 9001,penambahbaikan,"Organisasi hendaklah mengambil kira keputusan analisis dan penilaian, dan output daripada
kajian semula pengurusan, bagi menentukan jika terdapat keperluan atau peluang yang
sepatutnya ditangani sebagai sebahagian daripada penambahbaikan berterusan."
ISO 9001,pengurusan,"Struktur klausa (iaitu urutan klausa) dan beberapa istilah edisi Standard Antarabangsa ini,
berbanding dengan edisi terdahulu (ISO 9001:2008), telah diubah untuk menambah baik
sejajar dengan standard sistem pengurusan yang lain."
ISO 9001,pengurusan,"Dalam Standard Antarabangsa ini, tidak ada keperluan supaya struktur dan istilahnya diguna
pakai terhadap maklumat didokumentasikan dalam sistem pengurusan kualiti organisasi."
ISO 9001,dasar,"Struktur klausa bermaksud menyediakan pembentangan keperluan yang koheren, bukannya
model untuk mendokumentasikan dasar, matlamat dan proses sesuatu organisasi. Struktur
dan kandungan maklumat didokumentasikan yang berkaitan dengan sistem pengurusan
kualiti sering boleh menjadi lebih relevan kepada penggunanya jika ia berkaitan dengan
proses yang dikendalikan oleh organisasi dan maklumat yang diselenggarakan untuk maksud
lain."
ISO 9001,pengurusan,"Struktur klausa bermaksud menyediakan pembentangan keperluan yang koheren, bukannya
model untuk mendokumentasikan dasar, matlamat dan proses sesuatu organisasi. Struktur
dan kandungan maklumat didokumentasikan yang berkaitan dengan sistem pengurusan
kualiti sering boleh menjadi lebih relevan kepada penggunanya jika ia berkaitan dengan
proses yang dikendalikan oleh organisasi dan maklumat yang diselenggarakan untuk maksud
lain."
ISO 9001,rekod,"Istilah yang digunakan oleh organisasi tidak perlu digantikan dengan istilah yang digunakan
dalam Standard Antarabangsa ini bagi menetapkan keperluan sistem pengurusan kualiti.
Organisasi boleh memilih untuk menggunakan istilah yang sesuai dengan operasinya
(contohnya, menggunakan ""rekod","pendokumenan"" atau ""protokol"" dan bukannya
""maklumat didokumentasikan""; atau ""pembekal","rakan kongsi"" atau ""penjual"" dan bukannya
""penyedia luar""). Jadual A.1 menunjukkan perbezaan utama dalam istilah antara edisi
Standard Antarabangsa ini dengan edisi terdahulu."
ISO 9001,pengurusan,"Istilah yang digunakan oleh organisasi tidak perlu digantikan dengan istilah yang digunakan
dalam Standard Antarabangsa ini bagi menetapkan keperluan sistem pengurusan kualiti.
Organisasi boleh memilih untuk menggunakan istilah yang sesuai dengan operasinya
(contohnya, menggunakan ""rekod","pendokumenan"" atau ""protokol"" dan bukannya
""maklumat didokumentasikan""; atau ""pembekal","rakan kongsi"" atau ""penjual"" dan bukannya
""penyedia luar""). Jadual A.1 menunjukkan perbezaan utama dalam istilah antara edisi
Standard Antarabangsa ini dengan edisi terdahulu."
ISO 9001,pelanggan,"Kemasukan khusus istilah ""perkhidmatan"" bermaksud untuk menunjukkan ada perbezaan
antara produk dengan perkhidmatan dalam pemakaian sesetengah keperluan. Ciri-ciri
perkhidmatan ialah sekurang-kurangnya sebahagian daripada output dihasilkan pada antara
muka dengan pelanggan. Ini bermakna, sebagai contoh, bahawa keakuran terhadap
keperluan tidak semestinya disahkan sebelum hantar serah perkhidmatan."
ISO 9001,pelanggan,"Dalam kebanyakan hal, produk dan perkhidmatan digunakan bersama-sama. Kebanyakan
output yang disediakan organisasi kepada pelanggan, atau dibekalkan kepada mereka oleh
pembekal luar, termasuk kedua-dua produk dan perkhidmatan. Sebagai contoh, produk
ketara atau tak ketara boleh mempunyai beberapa perkhidmatan yang berkaitan atau sesuatu
perkhidmatan boleh mempunyai beberapa produk ketara atau tak ketara yang berkaitan."
ISO 9001,pengurusan,"Subklausa 4.2 menetapkan keperluan untuk organisasi menentukan pihak berkepentingan
yang relevan dengan sistem pengurusan kualiti dan keperluan pihak berkepentingan tersebut.
Walau bagaimanapun, 4.2 tidak membayangkan tambahan keperluan sistem pengurusan
kualiti di luar skop Standard Antarabangsa ini. Seperti yang dinyatakan dalam skop, Standard
Antarabangsa ini diguna pakai jika organisasi perlu menunjukkan keupayaannya
menyediakan secara tekal produk dan perkhidmatan yang memenuhi keperluan pelanggan
serta keperluan berkanun dan peraturan yang diguna pakai, dan bertujuan untuk
meningkatkan kepuasan pelanggan."
ISO 9001,pelanggan,"Subklausa 4.2 menetapkan keperluan untuk organisasi menentukan pihak berkepentingan
yang relevan dengan sistem pengurusan kualiti dan keperluan pihak berkepentingan tersebut.
Walau bagaimanapun, 4.2 tidak membayangkan tambahan keperluan sistem pengurusan
kualiti di luar skop Standard Antarabangsa ini. Seperti yang dinyatakan dalam skop, Standard
Antarabangsa ini diguna pakai jika organisasi perlu menunjukkan keupayaannya
menyediakan secara tekal produk dan perkhidmatan yang memenuhi keperluan pelanggan
serta keperluan berkanun dan peraturan yang diguna pakai, dan bertujuan untuk
meningkatkan kepuasan pelanggan."
ISO 9001,pengurusan,"Dalam Standard Antarabangsa ini, tidak ada keperluan supaya organisasi mengambil kira
pihak berkepentingan jika telah diputuskan bahawa pihak berkepentingan tersebut tidak
relevan dengan sistem pengurusan kualitinya. Terpulang kepada organisasi untuk
memutuskan jika keperluan tertentu pihak berkepentingan yang relevan adalah berkaitan
dengan sistem pengurusan kualitinya."
