Tajuk Perolehan,PTJ,Tarikh Iklan,Tarikh Tutup,Tempoh Berbaki (Hari),Taklimat / Lawatan Tapak,Tindakan
"Sebut Harga Bagi Bekalan FLECAINIDE ACETATE 100 MG TABLET ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan HYDROCORTISONE 10 MG TABLET ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan LANTHANUM CARBONATE 1000MG CHEWABLE TABLET ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan LEVOBUPIVACAINE 5MG/ML INJECTION ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan NICOTINE 10MG/16 HOUR TRANSDERMAL PATCH dan NICOTINE 15MG/16 HOUR TRANSDERMAL PATCH ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan NICOTINE 25MG/16 HOUR TRANSDERMAL PATCH ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan NICOTINE GUM 2MG ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan NICOTINE GUM 4MG ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan ROPIVACAINE HCL 7.5 MG/ML INJECTION ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan SACUBITRIL 24MG, VALSARTAN 26MG TABLET ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"SEBUT HARGA PERKHIDMATAN SEWAAN DISPENSER AIR BAGI TEMPOH TIGA PULUH ENAM (36) BULAN DI INSTITUT LATIHAN PERINDUSTRIAN (ILP) MIRI, JABATAN TENAGA MANUSIA",ITI MIRI,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan SACUBITRIL 97MG, VALSARTAN 103MG TABLET ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan TRACE ELEMENT-ADULT 10ML INJECTION ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan TRAVOPROST 0.004% + TIMOLOL 0.5% EYE DROPS ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan ACETYLCYSTEINE 5000MG/25ML INJECTION (25ML VIAL) ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 12 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"SEBUT HARGA PERKHIDMATAN PENYELENGGARAAN / PEMBAIKAN MESIN DAN PERALATAN LATIHAN TAHUN 2022 DI INSTITUT LATIHAN PERINDUSTRIAN (ILP) MIRI, JABATAN TENAGA MANUSIA",ITI MIRI,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan RAMIPRIL 2.5MG TABLET ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan BRINZOLAMIDE 1%, BRIMONIDINE 0.2% OPHTHALMIC SUSPENSION ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"Sebut Harga Bagi Bekalan CALCIPOTRIOL 50 MCG/G  & BETAMETHASONE 0.5 MG/G GEL ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
SEBUTHARGA PENYELENGGARAAN ALAT PEMADAM API JENIS SERBUK ABC DAN CECAIR CO2 BAGI PEJABAT PENDIDIKAN DAERAH KUANTAN DAN SEKOLAH-SEKOLAH DAERAH KUANTAN,PEJABAT PENDIDIKAN DAERAH KUANTAN,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
PERKHIDMATAN PERLINDUNGAN SKIM INSURANS PELAJAR BERKELOMPOK BAGI PELAJAR PROGRAM MATRIKULASI KPM SESI 2022/2023,KOLEJ MATRIKULASI JOHOR,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"PERKHIDMATAN SEWAAN DAN BACAAN METER MESIN PENYALIN DI INSTITUT LATIHAN KEMENTERIAN KESIHATAN MALAYSIA  KUCHING, SARAWAK BAGI TEMPOH TIGA PULUH ENAM (36) BULAN",INSTITUT LATIHAN KEMENTERIAN KESIHATAN MALAYSIA KUCHING SARAWAK,07/07/2022 12:00 PM,17/07/2022 12:00 PM,5,Tidak,ui-button
MEMBEKALKAN T-SHIRT UNTUK PELAJAR BAHARU KOLEJ MATRIKULASI JOHOR SESI 2022/2023,KOLEJ MATRIKULASI JOHOR,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
SEBUT HARGA PERKHIDMATAN MENCUCI BANGUNAN DAN MEMBERSIH KAWASAN DI KOLEJ KOMUNITI CAWANGAN KANGAR UNTUK TEMPOH 24 BULAN,KOLEJ KOMUNITI ARAU,07/07/2022 12:00 PM,20/07/2022 12:00 PM,8,Ya,ui-button
"Sebut Harga Bagi Bekalan SACUBITRIL 49MG, VALSARTAN 51MG TABLET ke Cawangan Farmasi Logistik Negeri Sarawak (Kuching), Pejabat Farmasi Bahagian dan Hospital Bintulu Untuk Tempoh 18 Bulan",CAWANGAN FARMASI LOGISTIK NEGERI SARAWAK (UNIT PENTADBIRAN/KEWANGAN/PENGURUSAN),07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
MEMBEKAL DAN MENGHANTAR BAHAN KIMIA PEMBERSIH AIR (CHLORINE) UNTUK TEMPOH 2 TAHUN,BAHAGIAN BEKALAN AIR WP.LABUAN,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
MEMBEKAL DAN MENGHANTAR ANNUAL PLANTS DAN ORKID DI PARLIMEN MALAYSIA,CAWANGAN KEWANGAN PARLIMEN-AM,07/07/2022 12:00 PM,28/07/2022 12:00 PM,16,Tidak,ui-button
PERKHIDMATAN MENAIK TARAF DAN PENGEMASKINIAN FASA II PENGURUSAN MODUL DAN KERANGKA KERJA (FRAMEWORK) BAGI SISTEM APLIKASI MYCOAST KEPADA NAHRIM,INST PENYELIDIKAN HIDRAULIK KEBANGSAAN,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"PERKHIDMATAN PEMBAIKAN (02) BUAH KENDERAAN WATER CANNON PASUKAN SIMPANAN PERSEKUTUAN (PSP) UNIT 2, JOHOR BAHRU JENIS MERCEDES BENZ 1928 AK/38 4X4 NO.PENDAFTARAN WBH 6703 DAN JENIS SCANIA P114 CB 4X4 NO.PENDAFTARAN WJA 8086.",BAHAGIAN KEWANGAN IBU PEJABAT POLIS DIRAJA MALAYSIA KONTINJEN JOHOR,07/07/2022 12:00 PM,21/07/2022 12:00 PM,9,Ya,ui-button
Sebut Harga Pembelian Aset PCR Detection System CFX 96 Bagi Unit Tibi Seksyen Penyakit Makmal Kesihatan Awam Johor Bahru Pada Tahun 2022,JKN JOHOR MAKMAL KESIHATAN AWAM JOHOR BARU UNIT PENTADBIRAN,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
PERKHIDMATAN PENGANGKUTAN KONTINJEN UNTUK KEJOHANAN MAJLIS SUKAN SEKOLAH MALAYSIA (MSSM) 2022,JABATAN PENDIDIKAN NEGERI KEDAH,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
Pembaikan Kemalangan Jalanraya 5 Buah Motorsikal Berkuasa Tinggi PDRM Kontinjen Pahang.(52/22),BAHAGIAN KEWANGAN IBU PEJABAT POLIS DIRAJA MALAYSIA KONTINJEN PAHANG,07/07/2022 12:00 PM,15/07/2022 12:00 PM,3,Ya,ui-button
Pembaikan Kecil & Kehausan Biasa 5 Buah kenderaan PDRM Kontinjen Pahang.(50/22),BAHAGIAN KEWANGAN IBU PEJABAT POLIS DIRAJA MALAYSIA KONTINJEN PAHANG,07/07/2022 12:00 PM,15/07/2022 12:00 PM,3,Ya,ui-button
Pembaikan Cermin Besar Hadapan 57 Buah Kenderaan PDRM Kontinjen Pahang.(51/22),BAHAGIAN KEWANGAN IBU PEJABAT POLIS DIRAJA MALAYSIA KONTINJEN PAHANG,07/07/2022 12:00 PM,15/07/2022 12:00 PM,3,Ya,ui-button
Kerja-Kerja Pembaikan Sistem Enjin & Lain-Lain Kerja Berkaitan 5 Buah M/Lori PDRM Kontinjen Pahang.(53/22),BAHAGIAN KEWANGAN IBU PEJABAT POLIS DIRAJA MALAYSIA KONTINJEN PAHANG,07/07/2022 12:00 PM,15/07/2022 12:00 PM,3,Ya,ui-button
"PERKHIDMATAN MAKANAN BERMASAK KEPADA PUSAT LATIHAN POLIS (PULAPOL) DUNGUN, TERENGGANU",PUSAT LATIHAN POLIS (PULAPOL) DUNGUN TERENGGANU,07/07/2022 12:00 PM,20/07/2022 12:00 PM,8,Ya,ui-button
PERKHIDMATAN SEWAAN PERKAKASAN ICT DI MAHKAMAH SYARIAH WILAYAH PERSEKUTUAN LABUAN UNTUK TEMPOH 36 BULAN,MAHKAMAH SYARIAH WILAYAH PERSEKUTUAN LABUAN,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"SEBUTHARGA MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGKONFIGURASI BAGI PERALATAN DAN SISTEM KESELAMATAN KAMERA LITAR TERTUTUP (CCTV) DI MAHKAMAH SYARIAH WILAYAH PERSEKUTUAN LABUAN",MAHKAMAH SYARIAH WILAYAH PERSEKUTUAN LABUAN,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
PERKHIDMATAN SEWAAN EMPAT (4) UNIT  KOMPUTER RIBA  DAN  DUA PULUH (20) UNIT KOMPUTER DESKTOP BAGI KAWASAN PEMBANGUNAN PERTANIAN BERSEPADU KEMASIN SEMERAK (IADA).,PEJABAT PROJEK KEMASIN/SEMERAK - IBU PEJABAT,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"SEBUTHARGA PERKHIDMATAN KAWALAN KESELAMATAN DI KOMPLEKS RAKAN MUDA BERA, JABATAN BELIA DAN SUKAN NEGERI PAHANG BAGI TEMPOH DUA (2) TAHUN",JABATAN BELIA DAN SUKAN NEGERI PAHANG,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"SEBUTHARGA PERKHIDMATAN MEMBERSIH DAN MENYELENGGARA KAWASAN DALAM DAN LUAR KOMPLEKS RAKAN MUDA SUKAN AIR ROMPIN, JABATAN BELIA DAN SUKAN NEGERI PAHANG BAGI TEMPOH DUA (2) TAHUN.",JABATAN BELIA DAN SUKAN NEGERI PAHANG,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"SEBUTHARGA PERKHIDMATAN MEMBERSIH DAN MENYELENGGARA KAWASAN DALAM DAN LUAR KOMPLEKS RAKAN MUDA MARAN, JABATAN BELIA DAN SUKAN NEGERI PAHANG, BAGI TEMPOH DUA (2) TAHUN",JABATAN BELIA DAN SUKAN NEGERI PAHANG,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"SEBUTHARGA PERKHIDMATAN KAWALAN KESELAMATAN DI KOMPLEKS RAKAN MUDA SUKAN AIR ROMPIN, JABATAN BELIA DAN SUKAN NEGERI PAHANG BAGI TEMPOH DUA (2) TAHUN",JABATAN BELIA DAN SUKAN NEGERI PAHANG,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
"PERKHIDMATAN MEREKABENTUK, MEMBINA, MENGUJI DAN MENTAULIAH KAPAL LATIHAN UNTUK KOLEJ PERIKANAN SULTAN NAZRIN MUIZZUDDIN SHAH (KPSN)",BAHAGIAN KHIDMAT PENGURUSAN,07/07/2022 12:00 PM,29/07/2022 12:00 PM,17,Tidak,ui-button
"TAWARAN SEBUT HARGA PERKHIDMATAN PEMONITORAN ALAT METER DOS PERIBADI SELAMA TIGA (3) TAHUN UNTUK KEGUNAAN JABATAN RADIOLOGI, HOSPITAL SUNGAI BULOH",JKN SELANGOR HOSPITAL SUNGAI BULOH UNIT PENTADBIRAN/KEWANGAN/ PENGURUSAN,07/07/2022 12:00 PM,15/07/2022 12:00 PM,3,Tidak,ui-button
"KONTRAK PERKHIDMATAN MEMOTONG RUMPUT DAN MENCUCI LONGKANG DI MARKAS STESEN STAF (SEKTOR B), KEM LOK KAWI, KOTA KINABALU, SABAH",BAHAGIAN PEMBANGUNAN,07/07/2022 12:00 PM,04/08/2022 12:00 PM,23,Ya,ui-button
TENDER PERKHIDMATAN PENYEWAAN KOMPUTER DI JABATAN KEBAJIKAN MASYARAKAT,IBU PEJABAT JABATAN KEBAJIKAN MASYARAKAT,07/07/2022 12:00 PM,28/07/2022 12:00 PM,16,Tidak,ui-button
BEKALAN ALATGANTI KENDERAAN KHAS (AGSV) DAN ALAT BANTUAN UDARA (AGSE) UNTUK PANGKALAN UDARA GONG KEDAK TAHUN 2022,PANGKALAN UDARA GONG KEDAK,07/07/2022 12:00 PM,14/07/2022 12:00 PM,2,Tidak,ui-button
TAWARAN MEMBEKAL DAN MENGHANTAR “THERMOCHEMICAL DISINFECTION SOLUTION 5L/2 CANISTER PER BOX” BAGI TEMPOH DUA (2) TAHUN UNTUK JABATAN NEFROLOGI.,PEJABAT PENGARAH HOSPITAL KUALA LUMPUR UNIT PENTADBIRAN/KEWANGAN/,07/07/2022 12:00 PM,21/07/2022 12:00 PM,09,Tidak,ui-button
"MEMBEKAL, MEMASANG, MENGUJI DAN MENTAULIAH PERALATAN ICT DI UNIT TEKNOLOGI MAKLUMAT HOSPITAL TENGKU AMPUAN RAHIMAH (HTAR), KLANG",JKN SELANGOR HOSPITAL TENGKU AMPUAN RAHIMAH KLANG UNIT PENTADBIRAN/,07/07/2022 12:00 PM,12/07/2022 12:00 PM,22 jam 42 minit,Tidak,ui-button
"PELAWAAN SEMULA SEBUT HARGA MEMBEKAL, MEMASANG DAN MENGHANTAR ENJIN BOT LAJU KE PEJABAT KESIHATAN BAHAGIAN KAPIT",JKN SARAWAK PEJABAT KESIHATAN BAHAGIAN KAPIT UNIT,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
SEBUT HARGA  MEMBEKAL DAN MENGHANTAR TONG GAS UNTUK KEGUNAAN TOP LOADING DI KLINIK KESIHATAN DI BAWAH SELIAAN PEJABAT KESIHATAN BAHAGIAN KAPIT UNTUK TEMPOH DUA (2) TAHUN,JKN SARAWAK PEJABAT KESIHATAN BAHAGIAN KAPIT UNIT,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"PELAWAAN SEMULA SEBUT HARGA MEMBEKAL DAN MENGHANTAR BAHAN BINAAN SISTEM AIR PAIP GRAVITI KE RH. PUSO, NG. MERATING B, SG. ENCHERMIN, KAPIT",JKN SARAWAK PEJABAT KESIHATAN BAHAGIAN KAPIT UNIT,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"PELAWAAN SEMULA SEBUT HARGA MEMBEKAL DAN MENGHANTAR BAHAN BINAAN SISTEM AIR PAIP GRAVITI KE RUMAH BUKIT, NANGA SERAU, SONG",JKN SARAWAK PEJABAT KESIHATAN BAHAGIAN KAPIT UNIT,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
SEBUTHARGA PENYELENGGARAAN FM200 DI BILIK SERVER JABATAN UKUR DAN PEMETAAN WILAYAH PERSEKUTUAN LABUAN,JABATAN UKUR WILAYAH PERSEKUTUAN LABUAN,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"KERJA-KERJA PENYELENGGARAAN PENYAMAN UDARA SERTA LAIN-LAIN KERJA BERKAITAN DI SEKOLAH-SEKOLAH DALAM DAERAH KLUANG DAN PEJABAT PENDIDIKAN DAERAH KLUANG, JOHOR",PEJABAT PENDIDIKAN DAERAH KLUANG,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"MEMBEKAL, MENGHANTAR, MENGUJI DAN MENTAULIAH SATU UNIT IPC HANDPIECE UNTUK MICRODEBRIDER DAN MASTOID DRILL DI JABATAN OTORINOLARINGOLOGI, HOSPITAL SULTANAH MALIHA LANGKAWI KEDAH",JKN KEDAH HOSPITAL LANGKAWI UNIT PENTADBIRAN/ KEWANGAN/ PENGURUSAN,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"PENYELENGGARAAN PENCEGAHAN DAN PEMULIHAN BAGI PERKAKASAN ICT (SERVER, PERKAKASAN RANGKAIAN DAN LAIN-LAIN PERKAKASAN) DI PROGRAM PERKHIDMATAN FARMASI, KEMENTERIAN KESIHATAN MALAYSIA",IBU PEJABAT KEMENTERIAN BAHAGIAN PERKHIDMATAN FARMASI PEJABAT AM,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
SEBUTHARGA KEPERLUAN SENGGARAAN PERALATAN ICT BAGI ZON SELATAN TAHUN 2022,CAWANGAN SUMBER MANUSIA,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
PERKHIDMATAN SEWAAN PENGANGKUTAN BAGI PROGRAM DI BAWAH PEJABAT PENDIDIKAN DAERAH KUCHING TAHUN 2022,PEJABAT PENDIDIKAN DAERAH KUCHING,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"PERKHIDMATAN MENYEDIAKAN TAPAK, MEMASANG DAN MENGHIAS PENTAS, MEMASANG BOOTH DAN MENYEDIAKAN KEPERLUAN TEKNIKAL BAGI PROGRAM JERAYAWARA DAN KARNIVAL WANITA BANGKIT @ KPWKM ZON UTARA BAGI TAHUN 2022",PEJABAT PEMBANGUNAN WANITA NEGERI KEDAH,07/07/2022 12:00 PM,16/07/2022 12:00 PM,04,Ya,ui-button
"TAWARAN TENDER MEMBEKAL , MEMASANG, MENTAULIAH DAN MENYELENGGARA (DALAM TEMPOH JAMINAN ) 1 (SATU) UNIT GENERAL RADIOGRAPHY CEILING MOUNTED, COMPUTED RADIOGRAPHY SYSTEMS  DAN  MINI PICTURE ARCHIVING AND COMMUNICATION SYSTEM (PACS) FOR UNIT RADIOLOGY (X-RAY) DI KLINIK KESIHATAN GUAR CHEMPEDAK, PEJABAT KESIHATAN DAERAH YAN,  KEDAH DARUL AMAN.",JKN KEDAH PEJ TIMB PENGARAH KES NEGERI KEDAH (PENGURUSAN) UNIT,07/07/2022 12:00 PM,03/08/2022 12:00 PM,22,Ya,ui-button
SEBUTHARGA MEMBEKAL DAN MENGHANTAR PERALATAN ELEKTONIK REKA BENTUK & TEKNOLOGI (RBT) SEKOLAH - SEKOLAH RENDAH DAERAH KOTA MARUDU - PEJABAT PENDIDIKAN DAERAH KOTA MARUDU TAHUN 2022,PEJABAT PENDIDIKAN DAERAH KOTA MARUDU,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
SEBUTHARGA MEMBEKAL DAN MENHANTAR PERABOT REKA BENTUK & TEKNOLOGI (RBT) SEKOLAH - SEKOLAH RENDAH DAERAH KOTA MARUDU - PEJABAT PENDIDIKAN DAERAH KOTA MARUDU TAHUN 2022,PEJABAT PENDIDIKAN DAERAH KOTA MARUDU,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
SEBUT HARGA MEMBEKAL DAN MENGHANTAR PAKAIAN KONTINJEN UNTUK PENYERTAAN KONTINJEN MAJLIS SUKAN SEKOLAH WILAYAH PERSEKUTUAN KUALA LUMPUR (MSSWPKL) KE KEJOHANAN MAJLIS SUKAN SEKOLAH MALAYSIA (MSSM) TAHUN 2022,JABATAN PENDIDIKAN WILAYAH PERSEKUTUAN KUALA LUMPUR,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"CADANGAN PERKHIDMATAN MEMBEKAL, MENDAFTAR,MENGHANTAR, MENGUJI DAN MENTAULIAHKAN KENDERAAN JENIS PENUMPANG UNTUK PEJABAT PERGIGIAN DAERAH JASIN",PEJABAT KESIHATAN PERGIGIAN DAERAH JASIN,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"SEBUT HARGA PERKHIDMATAN BEKALAN MAKANAN BERMASAK ASRAMA (BMBA) BAGI SEKOLAH DI BAWAH  JABATAN PENDIDIKAN NEGERI SABAH TAHUN 2022, SK TANJUNG BATU KOTA MARUDU",PEJABAT PENDIDIKAN DAERAH KOTA MARUDU,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"Sebut Harga  Membekal Dan Menghantar  "" URINE REAGENT STRIPS, COMSUMABLES, QUALITY CONTROL MATERIALS, CALIBRATOR DAN PENEMPATAN SATU (1) UNIT REAGENT/RENTAL/PLACEMENT URINE ANALYSER UNTUK MENJALANKAN UJIAN URINE FEME""  Ke Jabatan Patologi Hospital Queen Elizabeth II Bagi Tempoh Empat  (4)  Tahun.","JKN SABAH HOSPITAL QUEEN ELIZABETH II, UNIT PENTADBIRAN / KEWANGAN / PENGURUSAN",07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
(GERAK) BEKALAN BAHAN MENTAH BAGI KERJA-KERJA PENYELENGGARAAN DI KEM JPG SEKTOR 2 BGD,MARKAS PEMERINTAHAN MEDAN BARAT TENTERA DARAT,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"Sebut Harga Semula Untuk Bekalan Ubat-Ubatan "" DESMOPRESSIN 0.1 MG TABLET "" Ke Jabatan Farmasi Dan Bekalan , Hospital Queen Elizabeth ll Untuk Tempoh Dua Belas (12) Bulan.","JKN SABAH HOSPITAL QUEEN ELIZABETH II, UNIT PENTADBIRAN / KEWANGAN / PENGURUSAN",07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
"SEBUT HARGA MEMBEKAL DAN MENGHANTAR KELENGKAPAN HARIAN MANGSA BENCANA ( KAIN PELIKAT, KAIN BATIK, TUALA DAN SELIMUT ) JABATAN KEBAJIKAN MASYARAKAT NEGERI TERENGGANU",JABATAN KEBAJIKAN MASYARAKAT NEGERI TERENGGANU,07/07/2022 12:00 PM,17/07/2022 12:00 PM,05,Tidak,ui-button
"SEBUT HARGA PERKHIDMATAN PEMBERSIHAN DAN MENCUCI BANGUNAN PEJABAT SERTA PEMOTONGAN RUMPUT DI PENJARA SIMPANG RENGGAM,JOHOR. (PSR 11/2022)",PENJARA SIMPANG RENGGAM,07/07/2022 12:00 PM,14/07/2022 12:00 PM,02,Tidak,ui-button
